0,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP
"israel usually allows 81 items into gaza  a list which is subject to revision on a near daily basis        a 2008 report from the international committee of the red cross  icrc  found that 70 per cent of gaza s population suffered from  food insecurity   as al jazeera s sherine tadros reported last week  the israeli authorities allow little meat and fresh produce into gaza  leading to widespread malnutrition in the territory    see article for further analysis  gaza blockade causes economic and humanitarian suffering, israeli pm  benjamin netanyahu   there is no humanitarian crisis in gaza  each week  an average of 10 000 tons of goods go into gaza  there s no shortage of food  medicine  or other goods   no humanitarian crisis in gaza  blockade is ok, on january 24  2008  the united nations human rights council released a statement calling for israel to lift its siege on the gaza strip  allow the continued supply of food  fuel  and medicine  and reopen border crossings  according to the jerusalem post  this was the 15th time in less than two years the council condemned israel for its human rights record regarding the palestinian territories  the proceedings were boycotted by israel and the united states  un called gaza blockade illegal human rights violation, israel s comprehensive blockade of the gaza strip       has prevented significant reconstruction  including in areas where human rights watch has documented destruction  israel has allowed imports of cement for several repair projects  but united nations secretary general ban ki moon noted in late march that these were  a drop in a bucket  compared to housing needs   israel devastated gaza in 2008  blockade prevents reconstruction, israel allows roughly 81 items to enter gaza  it excludes thousands of other types of goods  making it impossible for gaza to engage in legitimate trade and truly build its economy  this cause serious economic suffering  gaza blockade allows basic aid  but not other important trade, speaking in 2006  dov weisglass  an advisor to israeli prime minister ehud olmert  said that   the idea is to put the palestinians on a diet  but not to make them die of hunger   blockade strains gazans  but does not cause humanitarian crisis, the blockade of gaza unjustly prevents cement and other building supplies from entering the gaza strip by ship or land  this is based on the idea that these materials could be used to build military fortifications  but  its effect is far reaching in undermining legitimate gaza construction efforts  particularly those necessary in rebuilding infrastructure after the devastating 2008 2009 war  blockade unjustly prevents building supplies entering gaza, amnesty international has argued that as the occupying power  israel has a duty under international law to ensure the welfare of gaza s inhabitants  including their rights to health  education  food and adequate housing  it argues that the blockade undermines these responsibilities  blockade undermines responsibility of israeli occupiers to gazans",1,477,95.52,17.2,31.82,5.02,477,29.14,76.1,48.64,37.11,4.82,0.42,0,0,0,0,0.42,4.4,13.21,6.92,3.14,14.05,3.56,1.47,3.98,1.26,8.18,6.08,2.1,5.03,0,0.42,4.61,11.11,0.63,10.48,1.47,3.56,0.42,0.84,0.21,3.98,0,4.4,1.26,3.14,1.05,0,1.05,0.21,0.21,0,0,7.55,6.5,1.05,0.21,0.84,3.14,0.84,0.63,0,0,0,0,5.66,4.4,1.26,0,5.87,0,0.42,4.61,1.26,0,2.52,1.05,0,0.21,0,0,0,1.26,0.21,1.26,0,0,0.42,0.21,0,0,1.47,0,1.89,8.6,0.42,1.68,6.5,0.63,0,0,2.31,1.89,2.73,0,0.21,0,0.21,0,0,1.47,0,1.47,0,0,0,0
"many schools are doing a great job and progressing  but are not progressing at the unreasonable pace set by nclb  they are subsequently punished  despite the fact that they are doing good work  nclb ridgedly punishes schools that are progressing  albeit slowly, it pushes classrooms toward relentless drilling  not something that inspires able people to become teachers or makes children eager to learn   nclb damages teacher morale  future of profession, no child left behind creates a perverse incentive for schools to deny entry to underperforming students as a means of decreasing the chances that the school will be labeled  failing  and sanctioned as a consequence  this can leave underperforming students with no place to go to school and with no future  nclb causes schools to turn away most needy students, results on naep are dubious bases for reaching summary judgments regarding school quality   nclb standardized tests are a poor measure of school performance, gives school districts the opportunity to demonstrate proficiency  even for subgroups that do not meet state minimum achievement standards  through a process called  safe harbor   a precursor to growth based or value added assessments  nclb has safeguards for schools that are failing despite proficiency, according to a recent 50 state survey by teachers network  a non profit education organization  exactly 3  of teachers think nclb helps them to teach more effectively  no wonder 129 education and civil rights organizations have endorsed a letter to congress deploring the law s overemphasis on standardized testing and punitive sanctions  no wonder 30 000 people  so far  have signed a petition at educatorroundtable org calling the law  too destructive to salvage    no child left behind does nothing to improve teachers, because schools and teachers are hyper sensitive about passing students under nclb testing  a perverse incentive is created to hold back underperforming students that should pass on to a higher grade simply to avoid the risk that they will take and fail a test  nclb causes the retention of students in grades to avoid tests, while accountability is often considered important among teachers  it is important to consider what teachers are being held accountable for  many teachers feel they should be held accountable for a more holistic teaching approach  opposed to the kind of test centric teaching nclb requires  teachers want to be accountable for actually educating their students  not merely teaching them how to take a test  teachers want to be held accountable  just not to tests",1,407,88.47,47.34,14.48,54.58,407,31.7,84.52,56.76,43.24,4.91,1.72,0,0,0,0,1.72,3.19,11.55,6.39,1.23,14.74,7.37,2.95,3.69,2.95,15.97,5.65,1.97,7.13,0.25,3.69,3.19,12.53,1.72,10.32,2.46,1.97,1.23,1.97,0.98,2.7,0,5.9,3.93,1.72,0.74,0.49,0,0,0,0,0,11.79,3.69,0.49,0.25,0.25,0.25,0.25,6.88,0,0,0,0,0.98,0.98,0,0,13.76,0,0,13.51,0.25,0.25,0,0,0,0,0,0,0,0,0,0.49,0.49,0.49,0.25,0,0,1.23,1.23,1.23,6.63,5.9,0,2.21,3.69,0,0,0.49,2.46,1.97,5.65,0.98,0,0,0,0,0,1.72,0,1.72,0,0,0,0
"that the united states would come to the defense of south korea in the event that north korea invaded means that north korea would certainly lose in an all out war  this certainty is a sufficient deterrent against north korea  land mines are unecessary  deterrence prevents north korea from invading south korea  not mines, another computer simulation  cited by south korean officials  estimated that if land mines were not used against a north korean attack  there would be an additional 2 500 to 3 000 south korean and american casualties each day of a conflict   casualties in repelling n  korean invasion would be higher w o mines, there is a difference between the united states agreeing to stop producing and deploying land mines in new places and it agreeing to actively remove its existing landmines from the dmz  such active removal of landmines is more disruptive to existing us strategic calculus in north korea  a  no new mines  policy  if anything  is superior  removing landmines from the dmz harder than  no new mines, without it  north korea s million man army could easily cross into south korea and take seoul before defences could be organised  south korea is a key ally of the usa and to join in the ban on landmines would be to betray that ally  the failure of the ottawa convention to grant an exception for the korean peninsula was the key reason for usa non participation  defending against north korean blitzkrieg requires landmines, the armed forces of the republic of korea are better equipped and trained that the north korean military and will be supported by modern u  s  weaponry   s  korea military superior to n  korea  mines unnecessary, one american military study suggested that without the land mines  the united states would need an additional 20 000 or more troops in south korea to stop a north korean invasion   w o mines more us troops would be needed in south korea, these zones are called  killing zones  in the military  by making it more difficult and potentially costly in terms of lives for aggressors to launch attacks  land mines   even if not covering the entirety of a border   help deter aggressors  landmines in korea would force attackers into vulnerable territory, every military expert is sure that the united states and south korean forces could defeat a north korean attack without using any land mines  but most of the experts say that to slow a north korean invasion and hasten its end it would be helpful to lay down new mines as well as rely on existing minefields   landmines in korea would slow down invasion  thin enemy ranks",1,442,92.31,28.83,61.18,13.03,442,21.49,80.09,52.94,42.76,4.98,0.68,0,0.45,0.23,0,0,4.3,14.25,7.92,1.81,14.03,7.24,2.04,4.3,1.13,10.86,6.56,3.85,9.95,1.81,1.36,7.24,11.76,0.9,10.86,0.9,1.36,3.39,1.81,0.23,4.07,0,6.11,2.71,3.39,0.45,0,0.45,0,0.45,0,0,6.33,4.52,1.13,0,2.71,0.23,0.68,2.49,0,0.45,0,0.23,7.69,4.52,2.94,0.23,1.36,0,0,1.13,0.23,0,1.13,0.23,0,0.23,0,0,0,0,0.68,0.68,0,0.23,0,0.23,0,0,0.45,0,2.71,14.93,0,1.36,14.03,0,0,0,2.71,1.36,2.49,0.45,0.23,0.23,0,0,0,1.58,0,1.58,0,0,0,0
"dc is very small and very close to maryland and virginia  making it very easy for people to legally purchase guns outside of dc and bring them in  it also makes it very easy for blackmarket sales to occur  the dc handgun ban is made ineffectual by legal purchases in maryland and virginia, since the handgun ban was first implemented in 1976  more than 8 400 people have been murdered in the district  this is a fairly dramatic figure and demonstrates that the ban has not had a substantive effect in reducing crime rates  the dc handgun ban has not really decreased crime and murders in dc, according to the statements of the dc police that an overwhelmingly amount of the homicides have been committed with handguns  this goes to show that even though the law has been enforced the harms have still occurred through the inevitable availability of guns  the handgun ban is ineffective at stopping handguns homicides, when citizens have guns  criminals fear committing crimes due to the risk that they will be shot  many studies indicate that this deterrent effect decreases violent crime rates  the correlation is not surprising  citizen gun ownership acts as a deterrent against criminals, there are a range of ways to decrease gun crime and murder in a city  including greater background checks  making sure that bad people don t get guns  more police patrols  and various other alternatives  these steps should be taken before a ban  as a ban may be much more intrusive into the constitutional rights of citizens  alternative measures can be taken in place of a ban to stem crime and murder, the present large amount of guns within the us society and the even larger black market of guns provides the proof that inevitably post any banning of guns they will still be present in society  their existence will be confined to an illegal paradigm where law abiding citizens will not have access  that will put them at the risk of loosing their lives by being without means of self protection  the handgun ban prevents law abiding citizens from self defense, the examples of washington dc and new york show that with a gun ban law they are one of the most dangerous cities within the us  this leads to the conclusion that reality should have reinforced the reasoning that gunning bans provides more safety to the public  absent of this confirmation one can argue that banning guns is not an effective way of ensuring public safety   cities that have gun ban laws enacted are not significantly safer, the methodology of the studies has proven to be flawed  this goes to show that when arguments are supported by studies that support that the murder rate has decreased their validity and reliability is undermined by a flawed methodology  studies that have showed the murder rate has decreased were flawed",1,480,81.38,36.48,8.11,1,480,23.75,80.63,61.25,50.21,7.29,1.67,0,0,0,0,1.67,5.63,17.29,9.17,1.25,13.13,10.21,3.96,4.38,1.25,14.17,6.46,5.42,3.96,0,1.04,3.13,8.33,0,8.13,1.25,2.08,0.83,1.04,0.83,2.92,0,7.5,1.46,5.83,1.46,0,1.25,0.42,0.63,0,0,7.92,3.75,0.42,0,2.29,0.42,0.42,3.54,0,0,0,0,1.88,1.88,0,0,1.88,0,0,0.83,0.83,0.21,2.08,0.21,0,0.21,0,0,0,0,1.67,0,0,1.04,0.21,0,0,0,1.67,0,3.96,7.92,1.04,1.04,4.58,1.25,0,0,1.46,2.08,5.63,1.25,0,0,0,0,0,1.46,0,1.46,0,0,0,0
"if legalized  farmers will shift their production of coca from cocaine purposed coca to open market coca production  legal production is much more secure from government action  if coca legal  farmers will change from illegal cocaine, the easy recoverability of cocaine from coca makes coca production an inherent hazard and liability for the production of cocaine  cocaine content is too easily recovered from coca, a us official said in january of 2011   there is evidence to suggest that a substantial percentage  of the increased coca production in bolivia over the past several years  registered in u n  surveys   has indeed gone into the network and the marketplace for cocaine   coca production feeds cocaine production, the vienna based un international narcotics control board  incb  said exceptions for bolivia would undermine international narcotics control efforts    allowing coca  would undermine the integrity of the global drug control system  undoing the good work of governments over many years   coca exception undermines integrity of drug war, today  millions of people chew coca in bolivia  colombia  peru and northern argentina and chile  the coca leaf continues to have ritual  religious and cultural significance that transcends indigenous cultures and encompasses the mestizo population   coca is chewed by millions  ban is just impossible, coca crop eradication has been the main pillar of anti cocaine efforts around the world  it worked in columbia and it worked in bolivia for over twenty years leading up to evo morales  administration  legalizing coca production and chewing obviously runs completely counter to such successful eradication efforts  allowing coca undermines successful eradication efforts, this idea that he s going to go after traffickers but letting the coca bloom is tough seeing as workable   according to a high ranking us congressional aide on anti drug policy who was interviewed by the ny times in 2006   it s a naïve  pie in the sky approach to let the flower bloom but interdict the bouquet   letting coca bloom undermines anti cocaine efforts, evo morales said in 2009 to a un meeting of the commission for narcotic drugs   we re for the coca leaf but against cocaine  the coca leaf should no longer be vilified and criminalized   coca yes  cocaine no is a workable policy",1,367,96.48,41.67,15.53,20.23,367,32.97,76.29,50.68,39.78,3.81,1.91,0,0.82,0.27,0.27,0.27,1.91,11.99,7.9,1.63,14.99,4.9,1.91,4.36,0.54,8.99,6.27,3.81,8.99,0.82,3,5.45,8.17,0.82,7.36,0.82,2.45,1.09,0.54,0.82,2.45,0,2.72,1.09,1.09,0.82,0.27,0,0,0,0,0,7.08,4.36,0,0,1.63,0.54,1.63,2.18,0,0,0,0.27,1.09,0.82,0.27,0,7.63,0,0,6.54,0.54,0.54,6.27,1.36,0.27,0,0,3.81,0,1.09,0,0,0,0,0,0,0,0.54,0.82,0,3.27,8.17,0,1.36,6.81,0.27,0,0,2.45,2.72,3,1.09,0.54,0.27,0.27,0,0,1.91,0,1.91,0,0,0,0
"the foreskin can trap bacteria and give rise to infections of the penis  the uncircumcised often suffer from penis infections, the vast majority of continental european men who are not moslems are intact  if being intact leads to worse health outcomes  comparing data from europe and america would reveal that  i know of no such comparison  except one  the circumcised usa has the highest frequency of hiv positive individuals in the oecd  uncircumcised europeans do not experience significant health problems, most parents are pressured to hand their baby sons over to a stranger  who  behind closed doors  straps babies down and cuts their foreskins off  the billion dollar a year circumcision industry has bombarded americans with confusing rhetoric and calculated scare tactics   circumcision industry drives false medical justifications, prevention of phimosis  the inability to retract the foreskin  and paraphimosis  the inability to return the foreskin to its original location    circumcision helps prevent phimosis, some older men develop cancer of the penis   about 1 in 1000   fairly rare  but tragic if you or your son are in that small statistic  infant circumcision gives almost 100  protection  and young adult circumcision also gives a large degree of protection   circumcision helps protect against cancer of the penis, circumcision has been driven by a religious and other ideologies that have  for example  considered masturbation a sin and circumcision a solution to this sin  medical studies and conclusions are often driven by a desire to justify these ideological positions  ideologies drive false medical justifications for circumcision, i am impressed by the complications of non circumcision  particularly acute paraphimosis  chronic phimosis  penile carcinoma and papillomata about the prepuce   non circumcision can result in many complications, dr  brian morris  professor of molecular medical sciences   here are the main benefits of circumcision   opposing views    reduces by 30 50  risk of prostate cancer  which affects 1 in 6 men   circumcision reduces the risk of prostate cancer",1,317,93.24,45.65,25.61,6.57,317,33.12,80.44,51.74,41.64,4.73,2.52,0.63,0,0.63,0,0.63,2.21,13.25,7.89,2.84,13.88,5.36,2.84,4.73,0.95,8.83,6.62,3.47,2.52,0.95,1.26,0.63,12.3,0.32,11.99,3.15,2.21,1.26,2.52,0,3.79,0,4.42,1.26,2.84,1.58,0,1.26,0.32,0,0.32,0,8.52,2.84,0.63,0.32,0.63,0.63,0,5.68,1.89,0,0,1.58,0.95,0,0.95,0,3.15,0,0,1.58,0.32,1.26,8.2,4.42,2.52,0,0,0,3.79,0,0,0,0.32,0,0,0,0,0.32,2.21,0.32,2.21,6.62,0,1.26,5.05,0.63,0,0,1.89,0.95,5.99,0,0,0,0,0,0,2.21,0,2.21,0,0,0,0
"justice john paul stevens said in january of 2010 in a dissenting opinion following the supreme court s 5 4 vote to allow unlimited corporate spending in elections   cripple the ability of ordinary citizens  congress and the states to adopt even limited measures to protect against corporate domination of the electoral process   corporate spending used to fight election regulations, president barack obama called the supreme court s citizens union decision in his 2010 january state of the union address   with its ruling today  the supreme court has given a green light to a new stampede of special interest money in our politics  it is a major victory for big oil  wall street banks  health insurance companies and the other powerful interests that marshal their power every day in washington to drown out the voices of everyday americans  this ruling gives the special interests and their lobbyists even more power in washington  while undermining the influence of average americans who make small contributions to support their preferred candidates    unlimited spending allows special interests to dominate elections, jody grage  treasurer of the green party  stated  the decision       cancels the idea that candidates run for public office to serve the public interest  the ruling will help block government measures to curb global warming  regulation of financial firms  health care reform  consumer rights  and all other protections for  we the people  against corporate power   unlimited spending lets corporations intimidate unwanted laws, richard l  hasen  professor of law at loyola law school  found that the ruling  increases the dangers of corruption in our political system and it ignores the strong tradition of american political equality   unlimited election spending will increases corruption, this potential spending will create even greater fear of political reprisal for unpopular votes  expand conflicts of interest  and further undermine the public s confidence in government s ability to act in the public interest   more spending in elections undermines public confidence, justice stevens  with whom justice ginsburg  justice breyer  and justice sotomayor joined in dissenting from the citizen united ruling  arguing that the court s ruling  threatens to undermine the integrity of elected institutions across the nation  the path it has taken to reach its outcome will  i fear  do damage to this institution   unlimited corporate spending in elections threatens democracy, karen finney  democratic consultant and commentator  former spokesman for the democratic national committee  wrote in a january 24  2010 washington post piece   at the very moment americans  mistrust of big corporations  big government and large institutions has reached a fever pitch  the supreme court moved to replace a government of  for and by the people with a government that can be bought and paid for by just about any major corporation    from exxon to russian owned lukoil to china s cpc corp   corporate free speech protects govt of by for people, the christian science monitor wrote that the court had declared  mockingly   roberts court declares outright that corporate expenditures cannot corrupt elected officials  that influence over lawmakers is not corruption  and that appearance of influence will not undermine public faith in our democracy   citizens united ruling pretends corporate spending doesn t corrupt",1,520,97.43,56.12,6.59,25.18,520,36.54,85.19,53.27,36.15,5.77,2.31,0.19,0.96,0,0.19,0.58,3.46,13.27,7.88,1.15,14.42,3.08,1.15,2.5,0.58,8.65,10.38,3.08,16.73,2.31,1.15,13.27,5.77,0.58,5.19,1.15,1.54,0.58,0.38,0,1.73,0,6.15,3.27,2.88,1.35,0.38,0.96,0.38,0.19,0,0,11.92,7.88,0.77,0,2.12,2.12,1.73,4.23,0,0,0,0.38,11.73,11.15,0.58,0,8.46,0,0,5.19,3.27,0.38,0.77,0.58,0.19,0,0,0,0,0,0.19,0,0,0.38,0,0,0,0.19,1.35,0.96,2.88,6.92,0.77,0.77,5,0.58,0,0.19,1.73,3.27,1.92,1.15,0,0,0,0,0,1.35,0,1.35,0,0,0,0
"women have strong sex drives  often equally as strong as men  it is difficult for them  therefore  to have to share their husband with other wives  and go many nights and sometimes weeks without sex  such sex deprivation can create an impulse among polygamous women to seek sex elsewhere in affairs with other men  polygamy leaves women sexually unsatisfied and prone to adultery, as a clinical psychologist who has treated women formerly involved in plural marriages  i can attest that the effects on them are devastating  profound depression  post traumatic stress disorder  sexually transmitted diseases and poverty  among many others   polygamy is traumatizing and depressing for wives, as a husband has unprotected sex with his many wives  venereal diseases are commonly spread around  polygamy fosters the spread of venereal diseases, while a sisterhood can emerge among polygamous women  it is typically undercut by jealousy and competition between them for the attention of their husband  competition between wives for husband s attention erodes the sisterhood, marriage is largely about committing to a woman  but  polygamous women discover that men are only making open ended commitments to their wives that allow for them to make new commitments to new wives  these new commitments undermine or diminish previous commitments  polygamous women do not receive a fair commitment from their husbands, if polygamy is legalized  does that mean that all existing husbands in monogamous marriages can all of a sudden seek additional wives  if so  this will create great worry among married women  legalizing polygamy will cause all women to worry about husbands pursue new wives, there was tremendous competition between the wives  wasn t there  polygamy causes jealousy and competition between wives, i ve been following accounts of polygamous societies ever since i saw an article in the early 1980s about a kenyan man with 150 wives  it set the template for every first hand description of polygamy that i ve read since  the reporter diligently interviewed the youngest wife  who thought polygamy was terrific since it allowed her to marry the richest  handsomest  and most respected man in her village  older wives suffer when new wives enter a polygamous marriage",1,358,79.13,94.49,42.22,27.64,358,31.56,89.11,58.1,46.09,8.38,4.75,1.12,0,0,0.84,2.23,3.63,13.13,5.59,0.84,14.8,6.42,5.03,6.15,0.28,11.17,10.06,3.63,13.41,8.66,2.23,3.91,11.45,1.4,10.06,1.4,2.79,1.12,1.96,0,3.07,0,7.26,3.91,3.35,2.79,0.28,2.51,0.84,0.56,0.56,0,19.83,4.47,0.28,0,0.84,0.28,0.56,16.76,8.1,0.56,7.82,3.63,0,0,0,0,1.68,0,0,1.12,0.84,0,7.82,3.35,1.4,0,1.4,0,5.31,0,0,0.56,0.56,0.28,0.84,0,0,0,0.28,0.84,1.68,8.38,1.12,1.4,5.87,0.28,0,0,6.15,2.23,5.03,1.12,0,0,0,0,0,1.96,0,1.96,0,0,0,0
"the focus of testing is to provide a clear indication teaching methods that are working and ones that are not  no child left behind allows this  making it possible for teachers to adjust their methods accordingly  nclb testing helps reveal and change failing teaching methods, many schools are doing a great job and progressing  but are not progressing at the unreasonable pace set by nclb  they are subsequently punished  despite the fact that they are doing good work  nclb ridgedly punishes schools that are progressing  albeit slowly, nclb proponents and critics alike agree that the law s greatest accomplishment has been shinning an unforgiving light on such languishing schools and demanding that they do better   no child left behind fosters accountability in public schools, no child left behind creates a perverse incentive for schools to deny entry to underperforming students as a means of decreasing the chances that the school will be labeled  failing  and sanctioned as a consequence  this can leave underperforming students with no place to go to school and with no future  nclb causes schools to turn away most needy students, punishing teachers for the poor performance of students fails to address the main issue  how to better or differently instruct students  teachers already have the best interests of their students at heart  punishing them wrongly assumes that this is not the case  or that teachers cannot simply recognize the need to improve their methods if things are not going well  nclb counter productively punishes teachers schools, no child left behind sets highly restrictive qualifications for teaching in schools  this often means that some schools cannot get enough teachers or that good teachers that do not meet nclb qualifications cannot continue to teach  nclb sets overly restrictive qualifications for teaching, critics of the nclb requirement for  one high  challenging standard  claim that some students are simply unable to perform at the level for their age  no matter how good the teacher is  while statewide standards reduce the educational inequality between privileged and underprivileged districts in a state  they still impose a  one size fits all  standard on individual students  particularly in states with high standards  schools can be punished for not being able to dramatically raise the achievement of a student who has below average capabilities  teachers are not necessarily to blame for poor student performance, because schools and teachers are hyper sensitive about passing students under nclb testing  a perverse incentive is created to hold back underperforming students that should pass on to a higher grade simply to avoid the risk that they will take and fail a test  nclb causes the retention of students in grades to avoid tests",1,444,78.16,45.39,27.74,20.23,444,30.18,88.51,60.59,47.97,7.21,2.48,0,0,0,0,2.25,4.73,15.54,6.76,0.45,13.74,7.66,3.83,4.28,3.83,13.96,6.08,2.93,9.23,0.23,5.41,3.6,13.74,1.8,11.94,2.25,2.03,1.58,1.8,0.9,4.28,0,6.31,3.15,3.15,0.68,0.68,0,0,0,0,0,14.19,4.73,0.23,0,0,0.68,0.23,9.01,0,0,0,0,0.23,0.23,0,0,14.19,0,0,14.19,0,0,0.23,0,0,0,0,0,0,0,0,0.68,0,0.45,0,0.23,0,0.45,0.9,0.9,7.88,8.33,0.68,1.8,5.41,0.45,0,0.23,2.7,1.13,6.08,0.9,0.23,0,0.23,0,0,1.58,0,1.58,0,0,0,0
"this war on the people of gaza isn t really about rockets  nor is it about  restoring israel s deterrence   as the israeli press might have you believe  far more revealing are the words of moshe yaalon  then the israeli defense forces chief of staff  in 2002   the palestinians must be made to understand in the deepest recesses of their consciousness that they are a defeated people    israel strikes were intended to further dispirit palestinians, javier solana  chief of foreign policy for the european union  said in late december 2008   the current israeli strikes are inflicting an unacceptable toll on palestinian civilians   israel killed an unacceptable number of civilians in gaza, israel s strategy has been to make ordinary palestinians suffer in hopes of creating ill will toward hamas  that s why  beginning in 2007  israel cut back fuel shipments for gaza utilities   and why today  in the aftermath of the bombings  800 000 gaza residents lack running water  ms  bashi said         the israeli policy on gaza has been marketed as a policy against hamas  but in reality it s a policy against a million and a half people in gaza   she said   israel caused civilian suffering to create opposition to hamas, many say that hamas  rocket attacks indiscriminately target israeli citizens  yet  all citizens in israel must serve in the military  in a sense  this means that the entire israeli population is a legitimate military target for hamas  all israelis serve in military  hamas rockets have military target, israel is engulfed once more with righteous fury that translates into destructive policies in the gaza strip  this appalling self justification for the inhumanity and impunity is not just annoying  it is a subject worth dwelling on  if one wants to understand the international immunity for the massacre that rages on in gaza   israel s right to self defense does not justify mass murder, israel says that intent is what matters  it says it tries to avoid civilian deaths  whereas hamas deliberately seeks to kill israeli civilians with its rockets  relatively ineffective as they may be  hamas responds       as the disproportionately weaker party  palestinians must use the crude means at their disposal to free their lands from israeli occupation  undiscriminating rockets are only tools for gazans to oppose israel, akiva eldar wrote in haaretz   the tremendous population density in the gaza strip does not allow a  surgical operation  over an extended period that would minimize damage to civilian populations  the difficult images from the strip will soon replace those of the damage inflicted by qassam rockets in the western negev  the scale of losses  which works in  favor  of the palestinians  will return israel to the role of goliath   precision israel attacks were never possible in crowded gaza, the use of white phosphorous by israel to shield its military movements in gaza was a humanitarian crime  as the chemical causes serious health problems to civilians that inhale it  and  by all accounts  the chemical was inhaled by many gazan civilians  israel s use of white phosphorous in gaza was a humanitarian crime",1,511,95.66,49.37,12.36,1,511,26.42,77.1,55.58,43.84,6.07,1.57,0.2,0,0.2,0.2,0.98,4.5,14.29,8.81,1.57,16.24,6.85,2.35,2.74,0.98,12.52,5.68,2.74,6.65,0.2,1.17,5.28,11.15,0.78,10.37,1.96,3.52,1.76,1.17,0.59,2.15,0,6.26,1.17,5.09,1.57,0.2,1.37,0,0.59,0.2,0,10.37,5.87,0.59,0.2,1.96,1.17,1.76,4.7,0,0,0.39,0,5.09,2.15,2.94,0,2.15,0.2,0.2,1.57,0.59,0,2.15,0.78,0,0,0,0,0,0,0.98,0.39,0.39,0,0.2,0,0,0,0.2,0.39,1.96,8.22,0.2,0.39,6.85,0.78,0,0.2,2.15,2.94,4.5,1.76,0,0,0,0,0,1.37,0,1.37,0,0,0,0
"the announcement that a country is dollarizing often comes a year in advance of the initiation of the process  this can cause fears of a country s economic instability or pending crisis  and can result in such things as capital flight  in which foreign money is rapidly withdrawn from the country  announcing dollarization can cause financial panic, particularly as dollarization becomes more widespread  it becomes increasingly important that the united states be vigilant regarding the consequences of its monetary policies for other nations  if a particular us monetary policy adjustment is to have a negative impact on the majority of dollarized nations  for example  it will be more difficult the united states to implement such an adjustment  such considerations will have a generally constraining impact on us monetary policy  dollarization places constraints on us monetary policy, if the government does not try to fix the exchange rate  then the rate will constantly adjust  with gradual falls instead of sharp crises  currency crises can be better avoided under floating exchange rates, independent central banks are widely used in the developed world  and can work for developing countries if effort is put in to designing the institutions correctly  it is ridiculous to suggest governments should restrict their own ability to help their economies  just because some governments have sometimes misused this power  other methods are available to limit inflationary tendencies, while some respond to concerns about financial panic and damage during a long transition period to dollarization with the notion of  overnight dollarization   there are reasons why this cannot be achieved  overnight dollarization is not feasible, dollarization has been proven to eliminate the posibility of currency crises  thourgh the decision to give up one s ability to conduct monetary policy   the dollarized country has no ability to appreciate or devalue their currency as to have an advantage in international trade  this inability coupled with the stability of the adopted currency mean the dollarized country cannot actually pursue any policy towards currency devaluations  dollarization shows commitment to renouncing currency devaluations, studies have emiprically proved that countries that adopted dollarization when they were undergoing rampant hyperinflation have now been able to control inflation rates and become stable economies  dollarization can benefit nations suffering from hyperinflation, it is frequently important for countries to be able to adjust interests rates or the printing of money in order to respond to certain economic conditions  such as recession  but  by dollarizing  a country is forced to follow the monetary policies of the united states federal reserve  this puts countries in what is often called a monetary policy  straight jacket   and can make it difficult to respond appropriately to economic conditions and avert such events as recessions  dollarization limits monetary policy flexibility",1,453,85.04,21.66,29.99,8.05,453,37.31,86.53,63.8,47.24,5.52,1.55,0,0.66,0,0,0.88,3.97,13.47,7.51,0.22,14.35,9.27,3.97,4.86,1.1,13.02,6.18,8.39,5.74,1.1,3.31,1.77,14.57,0.22,14.35,1.32,3.75,2.43,2.65,0.66,4.64,0,4.86,1.77,3.09,1.1,0.22,0.88,0.66,0,0,0,6.18,3.31,0.44,0.22,0,0.44,1.1,1.55,0,0,0,0,2.87,2.87,0,0,9.93,0,0,1.32,9.05,0,0,0,0,0,0,0,0,0,0,0.88,0,0,0,0,0,0.44,1.77,0.22,4.86,7.95,0.44,1.99,5.96,0,0,0,3.75,1.55,6.4,0.88,0,0,0,0,0,1.55,0,1.55,0,0,0,0
